input_row_key,input_company_name,company_name,veridion_id,match_score,input_main_country,main_country,input_main_city,main_city,website_url,primary_email,employee_count,revenue,qc_flags
10,ACCENTURE SERVICES AS,Accenture Norge,182e8830-1b02-11ec-81d0-432e4ac5b2cc,70.0,Norway,Norway,Bærum,Oslo,https://www.accenture.no/,,,,"missing_email, missing_year_founded"
11,Accutics ApS,Accutics,347c7e63-93e5-11eb-90d2-e3355a7e800b,78.0,Denmark,Denmark,Odense,Copenhagen Municipality,https://www.accutics.com/,cnf@accutics.com,40.0,12575664.0,ok
12,ACOME,Acome Waga,1d1d61eb-f3d2-11ed-aa3a-193884b43729,65.0,France,France,Paris,Romagny Fontenay,,,,,"missing_website, missing_email, missing_year_founded"
13,"ACOME XINTAI CABLES CO., LTD.",Acome Xintai Cables Co. Ltd.,1000ca72-f7d7-11ed-bb8f-e9ec1594da2e,83.95,China,China,Xintai,Chaoyang,,,,,"missing_website, missing_email, missing_year_founded"
14,ADAPT A/S,Co adapt,05a4c395-93e5-11eb-8e19-198fb02d6f96,75.29,Denmark,Denmark,Copenhagen,Copenhagen,https://www.co-adapt.dk/,mail@co-adapt.dk,1.0,232244.0,ok
15,ADECCO A/S,Crone & Co.,76ed93c2-93e4-11eb-8e19-198fb02d6f96,62.86,Denmark,Denmark,Kongens Lyngby,Kongens Lyngby,https://croneandco.com/,hello@croneandco.com,4.0,873785.0,ok
16,ADECCO PERSONNEL PTE LTD,Adecco Singapore Pte. Ltd.,8a652942-f9d1-11ed-9ca4-4b290c9d084b,75.8,Singapore,Singapore,,,,,,,"missing_website, missing_email, missing_year_founded"
17,ADOBE SYSTEMS SOFTWARE IRELAND LIMITED,Adobe Systems Software Ireland,099ed3a8-1afb-11ec-a882-057f42292856,77.94,Ireland,Ireland,Dublin,Dublin 24,,,,,"missing_website, missing_email, missing_year_founded"
18,ADVANCED DIGITAL BROADCAST SA,Advanced Digital Broadcast Holdings SA.,170bf945-d904-11ec-97fb-31cc4a312a12,81.18,Switzerland,Switzerland,Bellevue,Pregny-Chambésy,https://www.adbholdings.com/,,,35800000.0,missing_email
19,Advanced Network Solutions Sdn Bhd,Advanced Network Solutions Sdn. Bhd.,3c9b6969-fdd5-11ef-8bcd-e7d9bf87b1c1,93.29,Malaysia,Malaysia,Shah Alam,Shah Alam,,,,,"missing_website, missing_email, missing_year_founded"
20,ADVANSIA AS,Advansia,a9f7869f-93e4-11eb-97db-273ba5953680,90.53,Norway,Norway,Oslo,Oslo,https://www.advansia.no/,hans.hagby@advansia.no,600.0,201516784.0,ok
21,AEGER GROUP AS,Aeger Group,2d7be421-93e5-11eb-be5a-4f810ab55f2e,92.8,Norway,Norway,Oslo,Oslo,https://www.aeger.no/,post@aeger.no,13.0,3709650.0,ok
22,AFFIRMED NETWORKS INC,Affirmed Networks,ef392bbd-93e4-11eb-919a-b3f9a5ad205c,93.68,United States,United States,Acton,Acton,https://www.affirmednetworks.com/,an_marketing@microsoft.com,120.0,75000000.0,ok
23,Agg Power Technology (Fuzhou) Co Ltd.,AGG Power,475daed5-0c7d-11ec-b9ed-b7cae580407c,63.48,China,China,Fuzhou City,Fuzhou City,http://aggpower.cn/,info@aggpowersolutions.com,85.0,5672347.0,missing_year_founded
24,AIA Berhad,AIA PRS,25f047fc-93e5-11eb-a736-0f5b20ecb2f1,75.29,Malaysia,Malaysia,Kuala Lumpur,Kuala Lumpur,http://www.aia-prs.com.my/en/help-and-support/contact-us.html,,,,"missing_email, missing_year_founded"
25,AIG EUROPE S.A. NUF,AIG Norge,379975dc-93e5-11eb-90d2-e3355a7e800b,65.71,Norway,Norway,Oslo,Oslo,https://www.aig.no/,csg.norway@aig.com,20.0,28010168.0,ok
26,AKTIESELSKABET RODOVRE CENTRUM,Aktieselskabet Rødovre Centrum,eab4a797-e56c-11ed-86c6-9fd2c95fb352,93.0,Denmark,Denmark,Rødovre Municipality,Rødovre Municipality,,,,,"missing_website, missing_email, missing_year_founded"
27,ALLEN OVERY SHEARMAN STERLING LLP,Shearman & Sterling,afe6b0d3-93e4-11eb-a33a-a3dfba582839,81.54,United Kingdom,United Kingdom,London,London,https://www.aoshearman.com/en,,850.0,1010000000.0,"missing_email, missing_year_founded"
28,ALTAIR GLOBAL RELOCATION SINGAPORE PTE. LTD.,Altair Aesthetic,1a9cb61c-0d2d-11ec-8853-310171c0600e,60.0,Singapore,Singapore,Singapore,Singapore,https://altairaesthetic.com/,,75.0,79647328.0,"missing_email, missing_year_founded"
29,"AMAZON WEB SERVICES, INC.",Amazon Web Services | API Gateway,c89d4e1b-bfde-11ec-92f4-876998402e2b,78.45,United States,United States,Seattle,Seattle,,,2.0,701700.0,"missing_website, missing_email, missing_year_founded"
30,AMAZON WEB SERVICES EMEA SARL,Amazon Web Services EMEA,4706bd71-93e5-11eb-aa66-9b8d95e2171b,69.34,Luxembourg,,,,https://logitech-events.com/,info@logitech-events.com,,,"country_mismatch, missing_year_founded"
31,"AMAZON WEB SERVICES EMEA SARL, NORWEGIAN BRANCH",Norwegian Seafood Supply,00b299f2-6d0d-11ec-bc58-f126260d7c32,63.66,Norway,Norway,Oslo,Oslo,https://norwegian-seafoodsupply.com/,info@norwegian-seafoodsupply.com,75.0,95972952.0,ok
32,AMDOCS DEVELOPMENT LIMITED,Amdocs Offices,0d6b95cb-8ab9-11ec-9b5d-67d3995ac824,30.0,Cyprus,United States,Limassol,St. Louis,,,,4800000000.0,"missing_website, missing_email, country_mismatch"
33,"American Express Europe Denmark, filial af American Express Europe S.A., Spanien",American Steakhouse,0078e966-93e5-11eb-b997-8dd98d09cf25,49.39,Denmark,Denmark,Copenhagen,,https://butcher.dk/,,15.0,752435.0,"missing_email, missing_year_founded"
34,American Express Europe SA (Norway),American Express Company AS,d791fd63-e113-11ec-a72c-1538a9321a8e,76.77,Norway,Norway,Oslo,Oslo,http://www.americanexpress.no/?opi=79508299&sa=U&ved=0ahUKEwiJ-N_liKSMAxX2TGwGHZRzErcQ61gIEigO&usg=AOvVaw27wLoj6gX0wm9eKmXSSFGk,,,,"missing_email, missing_year_founded"
35,ANALYSYS MASON AS,Analysys Mason,e97d1f55-93e4-11eb-be3a-7f925cb94351,59.19,Norway,Italy,Oslo,Milan,https://www.analysysmason.com/,web_enquiries@analysysmason.com,470.0,95000000.0,country_mismatch
36,MASON SITE FINDER LIMITED,Mason Contract Services,e16f0714-729b-11ec-82c4-1d4ff65030ff,62.5,United Kingdom,United Kingdom,Salford,Grays,https://masongroup.co.uk/,office@masongroup.co.uk,15.0,7168688.0,missing_year_founded
37,ANDCO A/S,Andco A/S.,d7aa707f-93e4-11eb-9937-4fab995bf8ff,96.84,Denmark,Denmark,Copenhagen,Copenhagen,https://www.andco.dk/,,75.0,16790228.0,"missing_email, missing_year_founded"
38,Annalect Denmark A/S,Annalect,bece9f0e-e4d2-11ec-a140-3f2eb8ef49f8,74.29,Denmark,Denmark,Copenhagen,Copenhagen,https://annalect-data.info/,dk.support@annalect.com,75.0,16790228.0,missing_year_founded
39,Anne Mette Lund,Anne Mette Høy,02115b2b-65f6-11ef-a567-7774974824cc,75.52,Denmark,Denmark,Haderslev,Vejle,http://mindre-stress.dk/?opi=79508299&sa=U&ved=0ahUKEwi4mfaSm-SMAxVfE1kFHS_HLHoQ61gIEigP&usg=AOvVaw21SI8OJlgK9_li2AWT-KF8,,,,"missing_email, missing_year_founded"
40,ANRITSU A/S,ANRITSU,172e7ea7-0523-11ec-a64f-cb86dbe4969b,51.67,Denmark,,Copenhagen,,https://tiancunwu.com/,,,,"missing_email, country_mismatch, missing_year_founded"
41,Aon Assessment Denmark A/S,Aon Invest A/S.,8ebb9a30-f868-11ed-a012-23d8e35cf067,57.2,Denmark,Denmark,Copenhagen,Aarhus,,,,,"missing_website, missing_email, missing_year_founded"
42,AON NORWAY AS,Aon Norway,94b23b7a-a0a5-11ed-9081-2b8f862bccfc,87.17,Norway,Norway,Oslo,Oslo,,,82.0,,"missing_website, missing_email, missing_year_founded"
43,APPDYNAMICS UK LTD,AppDynamic,f7b252d4-fa1c-11ec-83db-47cce081a4ab,72.86,United Kingdom,United Kingdom,London,Feltham,http://stluciakitefiesta.com/,privacy@appdynamics.com,,,missing_year_founded
44,APPLE DISTRIBUTION INTERNATIONAL LIMITED,Apple Distribution International,72b33d10-1afd-11ec-9842-212d1c52ad77,78.33,Ireland,Ireland,,Cork,,,,,"missing_website, missing_email, missing_year_founded"
45,APPLE DISTRIBUTION INTERNATIONAL LIMITED,Apple Distribution International,72b33d10-1afd-11ec-9842-212d1c52ad77,88.33,Ireland,Ireland,Cork,Cork,,,,,"missing_website, missing_email, missing_year_founded"
46,Apple Malaysia Sdn. Bhd.,Apple Malaysia Sdn Bhd.,50c0e708-22bf-11ec-9024-ef7bc13965aa,93.72,Malaysia,Malaysia,Kuala Lumpur,Kuala Lumpur,,,,,"missing_website, missing_email, missing_year_founded"
47,Apple South Asia (Thailand) Co Ltd,South East Asia Sails,001f3090-93e5-11eb-a33a-a3dfba582839,62.73,Thailand,Thailand,Bangkok,Choeng Thale,https://southeastasiasails.com/,robert.tasker@southeastasiasails.com,15.0,431358.0,ok
48,ARELION NORWAY AS,Mixto As,0233ab52-aa7c-11ec-bce7-45193b30c3a8,59.2,Norway,Norway,Oslo,Oslo,https://www.mixto.no/,kundeservice@mixto.no,3.0,1498524.0,ok
49,Arelion AB,Arelion,34818680-89c1-11ec-a621-3f13cdb5ccc4,79.41,Sweden,Sweden,Stockholm,Farsta,https://arelion.com/,support@arelion.com,530.0,454000000.0,ok
50,ARY COMMUNICATIONS LIMITED,Unisoft Computer & Communication,7f6e1749-93e4-11eb-919a-b3f9a5ad205c,67.24,Pakistan,Pakistan,Karachi,Lahore,http://www.unisoftcc.com/,info@unisoftcc.com,75.0,455928.0,missing_year_founded
51,"Ascio Technologies, Corp. Danmark - Filial af Ascio Technologies Corp. Canada",Ascio Technologies,c7288490-93e4-11eb-8859-29e7c34dee35,52.74,Denmark,Denmark,Gentofte Municipality,Copenhagen,https://www.ascio.com/,help@ascio.com,71.0,5400000.0,ok
52,ASIAINFO DENMARK ApS,Birk Denmark,0054d420-11a8-11ec-a2c4-217a4c183987,63.75,Denmark,Denmark,Copenhagen,Skive Municipality,https://birkdenmark.com/,contact@birkdenmark.com,15.0,12539290.0,missing_year_founded
53,Atea A/S,Atea Anlæg ApS.,bd9dbeb0-ce0a-11ed-a666-1d0889fbeaae,66.52,Denmark,Denmark,Ballerup,Køge Municipality,https://ateaanlaeg.dk/,ateaanlag@outlook.dk,3.0,372603.0,missing_year_founded
54,ATEA AS,Atea ASA.,933da790-93e4-11eb-b5f6-816dd10ac7b0,92.5,Norway,Norway,Oslo,Oslo,https://www.atea.no/,dpo@atea.com,2500.0,600000000.0,ok
55,Atea Sverige AB,Atea Sverige,f0c60d30-93e4-11eb-91fb-73d498260b10,83.33,Sweden,Sweden,Stockholms Kommun,Stockholm,https://www.atea.se/,kundreskontra@atea.se,2700.0,395000.0,ok
56,NP Investment A/S,Np International A/S.,5e1eacfe-1af9-11ec-9211-addac7307e1d,66.05,Denmark,Denmark,Hillerød,Copenhagen,,,,,"missing_website, missing_email, missing_year_founded"
57,ATREBO SL,Atrebo,a32a0a45-93e4-11eb-90d2-e3355a7e800b,78.0,Spain,Spain,Guillena,Sevilla,https://www.atrebo.com/,marketing@atrebo.com,49.0,8433512.0,ok
58,AV CENTER AALBORG ApS,Aalborg Anlægsgartneri,1927e196-93e5-11eb-9937-4fab995bf8ff,69.07,Denmark,Denmark,Nørresundby,Aalborg,https://aalborganlaegsgartneri.dk/,fa@aalborganlaegsgartneri.dk,8.0,955192.0,missing_year_founded
59,aviat networks bangladesh ltd.,Aviat Electric Store,65315fc3-0695-11ef-a74a-2d2c9a18d857,56.2,Bangladesh,Bangladesh,,Netrokona,,,,,"missing_website, missing_email, missing_year_founded"
60,Aviat Networks Japan LLC,Aviat Networks,a3b73ba0-c4fc-11ec-b6cb-fdc55dfeae3a,59.21,Japan,,,,https://aviatnetworks.wordpress.com/,,,,"missing_email, country_mismatch, missing_year_founded"
61,AWAN DISTRIBUTION FZC,AWAN DISTRIBUTION,90786d2c-93e4-11eb-a33a-a3dfba582839,58.68,United Arab Emirates,Singapore,Sharjah,Singapore,https://awandistribution.com/,info@awandistribution.com,75.0,128811808.0,country_mismatch
62,Axteq ApS,Axteq,79b2afc2-9ba7-11ec-81bb-a98020a63841,82.86,Denmark,Denmark,Greve Strand,Greve Strand,https://axteq.dk/,job@axteq.dk,6.0,2726236.0,ok
63,Az-Technology Sdn. Bhd.,AZ Technology,eea35cb5-1206-11ec-a59d-d5061f333c7e,80.0,Malaysia,Malaysia,Petaling Jaya,Petaling Jaya,https://az-tech.my/,techsupport@az-tech.my,75.0,11588822.0,missing_year_founded
64,BAE SYSTEMS APPLIED INTELLIGENCE (INTERNATIONAL) LIMITED,BAE Systems Applied Intelligence,3ea0da62-8ab7-11ec-ac1c-2de22eb6a532,83.64,United Kingdom,United Kingdom,Guildford,Guildford,https://www.baesystemsdetica.com/,,,728200000.0,missing_email
65,BASICO P/S,Basico P/S.,9c00c37e-6d04-11ee-b24b-eb147ec3ebc2,92.14,Denmark,Denmark,Gentofte Municipality,Gentofte Municipality,,,,,"missing_website, missing_email, missing_year_founded"
66,"BB CONNECT CO.,LTD.",Bb connect,d57e2265-193a-11f0-abd2-b1121b4598c4,56.38,Thailand,South Africa,,,https://bb-connect.co.za/,connectbbconnectza@gmail.com,,,"country_mismatch, missing_year_founded"
67,Bb Technology Co Ltd,BB Air Technology Company Limited,0548f960-19a9-11ee-b47f-171c68013d1e,70.28,Thailand,Thailand,Bangkok,Wang Thonglang,,,,,"missing_website, missing_email, missing_year_founded"
68,BCD TRAVEL ASIA PACIFIC PTE. LTD.,BCD Engineering Services,d6020a05-f722-11ed-badc-3f260589431a,58.16,Singapore,Singapore,Singapore,Singapore,,,,,"missing_website, missing_email, missing_year_founded"
69,BCD N.V.,BCD,05804ba6-93e5-11eb-8859-29e7c34dee35,72.73,Netherlands,Netherlands,Utrecht,Utrecht,https://www.bcdtravel.com/,social.media@bcdtravel.com,13000.0,24999999488.0,ok
70,BEAT A/S,Beat,c62a45a0-6cf1-11ec-bd63-974170f7dbf6,80.0,Denmark,Denmark,Copenhagen,Copenhagen,http://www.beat.dk/,info@beat.dk,,,ok
71,"Beijing Dynamic Power Co., Ltd",Beijing High-tech Dynamic Power Co. Ltd.,d037a93e-18b9-11f0-94fa-471c68e22274,89.71,China,China,Fengtai District,Fengtai District,https://htdp.com.cn/,sales@htdp.com.cn,,,missing_year_founded
72,BIGID INC.,BigID,1cdc1a43-6dce-11ec-a314-7d00415f726f,70.0,United States,United States,,New York,https://bigid.me/,,,,"missing_email, missing_year_founded"
73,Binkies Holding B.V.,Binkies,8bd572a1-01b3-11ef-a950-57d6400676e3,71.11,Netherlands,Netherlands,The Hague,The Hague,https://binkiesdenhaag.nl/,,13.0,604754.0,"missing_email, missing_year_founded"
74,BLACKWOOD SEVEN A/S,Blackwood Seven,0cb674d5-93e5-11eb-aa66-9b8d95e2171b,92.94,Denmark,Denmark,Copenhagen,Copenhagen,https://blackwoodseven.com/,info@blackwoodseven.com,38.0,2000000.0,ok
75,Blom Soefeldt - Erhvervspsykologisk radgivning,Blom Søefeldt - Erhvervspsykologisk Rådgivning,1f377b2b-0c41-11ec-b09d-95ba7b1bb140,97.39,Denmark,Denmark,Copenhagen,Copenhagen,https://blomsoefeldt.dk/,mail@blomsoefeldt.dk,30.0,2699188.0,missing_year_founded
76,BOOST AI AS,Boost,f6ae0b86-93e4-11eb-91fb-73d498260b10,77.5,Norway,Norway,Sandnes,Sandnes,https://boost.ai/,privacy@boost.ai,180.0,8000000.0,ok
77,Bording Danmark A/S,Bording Dannmark A/S.,a80097e2-aeff-11ef-a550-45d601d5781f,87.0,Denmark,Denmark,Glostrup,Hvidovre Municipality,https://julemaerkelotteri.dk/,nij@bording.dk,13.0,2055733.0,missing_year_founded
78,Braathens Regional Airways AB,BRAATHENS REGIONAL AIRWAYS AB.,e06dbd72-5b1d-11ef-8bf4-3129dd2a123f,83.98,Sweden,Sweden,Stockholm,Trollhättan,,,4.0,,"missing_website, missing_email, missing_year_founded"
79,BRAINCHILD COMMUNICATIONS PAKISTAN (PVT.) LIMITED,Brainchild Communications Pakistan,efc08410-93e4-11eb-a746-fdabd18be9c6,79.16,Pakistan,Pakistan,,Karachi Division,https://brainchild.net/,info@brainchild.net,160.0,850985.0,ok
80,Brobizz A/S,Brobizz,f6c033f6-93e4-11eb-8859-29e7c34dee35,86.67,Denmark,Denmark,Copenhagen,Copenhagen,https://brobizz.com/,truck@brobizz.com,75.0,14588839.0,ok
81,BUNDGAARD KOLETEKNIK. VEJLE A/S,Bundgaard Køleteknik A/S.,91a6c984-27a7-11ef-ba21-2b94af863263,84.29,Denmark,Denmark,Vejle,Vejle,,ho@coolcare.dk,,,"missing_website, missing_year_founded"
82,Bynder Holding B.V.,Bynder,2a0c38dd-93e5-11eb-8474-3bbe2d07207d,68.8,Netherlands,Netherlands,Amsterdam,Amsterdam,https://www.bynder.com/en/,legal@bynder.com,600.0,100000000.0,ok
83,C&W Services (S) Pte. Ltd.,CW Aero Services,2d5be122-0a6a-11ec-b841-af64738d2bcd,74.29,Singapore,Singapore,Singapore,Singapore,https://cwaeroservices.com/,accounts@cw.com.sg,25.0,10126821.0,ok
84,CAMPANA GROUP PTE. LTD.,Campana Group,73d641b5-93e4-11eb-91fb-73d498260b10,83.33,Singapore,Singapore,,,https://campanaworks.com/,info@campanaworks.com,46.0,15000000.0,ok
85,CBRE AS,CBRE Norway,9dc12706-93e4-11eb-8e19-198fb02d6f96,66.67,Norway,Norway,Oslo,Oslo,https://www.cbre.no/,office.oslo@cbre.com,135000.0,74415251456.0,ok
86,CBRE Teknisk Servicepartner A/S,CBRE Teknisk servicepartner,57918a20-a8bb-11ed-9a6b-af642bb25f66,95.86,Denmark,Denmark,Aalborg,Aalborg,https://cbre-tekniskservicepartner.dk/,tekniskservicepartner@cbre.com,340.0,230000000.0,ok
87,CELLUSYS LIMITED,Cellusys,f0e66671-93e4-11eb-b4a6-27899be4e45d,70.0,Ireland,Ireland,Dublin 1,Dublin,https://www.cellusys.com/,sales@cellusys.com,95.0,8500000.0,ok
88,CENTERFORENINGEN FISKETORVET SHOPPING CENTER F.M.B.A.,Centerforeningen for Nyvangsparken,0729a734-69ff-11ec-a83b-a57bf486820a,73.1,Denmark,Denmark,,,https://nyvangsparkens.dk/,f.jensen.teknik@gmail.com,,,missing_year_founded
89,CETIN Hungary Zrt.,CETIN Hungary,ffcc1654-120e-11ec-8f83-091abf327b82,90.32,Hungary,Hungary,Törökbálint,Törökbálint,https://cetin.hu/,info@cetin.hu,200.0,20422574.0,ok
90,CHINA TELECOM GLOBAL LTD,China Telecom Global,26c39d80-93e5-11eb-be5a-4f810ab55f2e,94.55,Hong Kong,Hong Kong,Hong Kong Island,Hong Kong Island,https://www.chinatelecomglobal.com/,ffos.dengchg@chinatelecom.cn,287076.0,2400000.0,ok
91,CHINA UNICOM (SINGAPORE) OPERATIONS PTE. LTD.,China Unicom Singapore Operations Limited,c12f14b6-b6bc-11ef-b7fc-31383e76ec39,81.86,Singapore,Singapore,Singapore,Singapore,https://cuniq.sg/en/home/,sg-cs@cuniq.com,,,missing_year_founded
92,CHUBB GLOBAL RISK ADVISORS PTE. LTD.,Chubb Global Risk Advisors,4db78ad2-c000-11ec-8d01-9b40ae94c55f,80.32,Singapore,Singapore,,Singapore,https://www.cgra.com.sg/,enquries.sg@chubb.com,75.0,19513632.0,missing_year_founded
93,CIBICOM SERVICES A/S,Cibicom A/S.,9cef310b-93e4-11eb-b997-8dd98d09cf25,81.25,Denmark,Denmark,Ballerup,Ballerup,https://cibicom.dk/,sales@cibicom.dk,150.0,36949128.0,ok
94,CIENA LIMITED,Ciena DE,ad5fdef2-93e4-11eb-97db-273ba5953680,80.0,United Kingdom,United Kingdom,London,London,https://www.ciena.de/,ar@ciena.com,,,missing_year_founded
95,CISCO INTERNATIONAL LIMITED,Cisco Systems London,17bb1884-8aaf-11ec-97ac-2bfe3222420d,60.64,United Kingdom,United Kingdom,Feltham,London,https://www.cisco.co.uk/,,,,"missing_email, missing_year_founded"
96,CISCO NORWAY AS,Cisco Systems Norway AS,9efd3f68-c418-11ef-92e8-6df27b7ad8f3,82.37,Norway,Norway,Bærum,Bærum,,,,,"missing_website, missing_email, missing_year_founded"
97,CITERO AS,Citero,14fe8332-93e5-11eb-8ad6-7326edce8d21,88.0,Norway,Norway,Trondheim,Trondheim,http://citero.no/,jon@citero.no,40.0,3785642.0,ok
98,"CLOUDERA, INC.",ClouderaNOW24,def72ee7-93e4-11eb-aa66-9b8d95e2171b,80.0,United States,United States,Santa Clara,Santa Clara,http://greaterrichmondhomeloanconnect.com/,support@twilio.com,,,missing_year_founded
99,Comba Technologies Sdn. Bhd.,V-Smart Technologies Sdn Bhd.,00af1484-93e5-11eb-aa66-9b8d95e2171b,74.21,Malaysia,Malaysia,Subang Jaya,Semenyih,http://vsmart.com.my/v1/,,75.0,3249012.0,"missing_email, missing_year_founded"
100,COMBA TELECOM LIMITED,Comba Telecom,85816b51-93e4-11eb-a736-0f5b20ecb2f1,75.88,Hong Kong,Hong Kong,Hong Kong Island,New Territories,https://comba-telecom.com/en/,marketing@comba-telecom.com,600.0,766000000.0,ok
101,Comengineering Sdn. Bhd.,COMENGINEERING SDN BHD.,eb823b24-1e9c-11ee-918e-3b99085851a3,93.72,Malaysia,Malaysia,Subang Jaya,Subang Jaya,,,,,"missing_website, missing_email, missing_year_founded"
102,COMMSCOPE SOLUTIONS SINGAPORE PTE. LTD.,All Property Solutions Singapore,03be7761-93e5-11eb-a746-fdabd18be9c6,80.56,Singapore,Singapore,Singapore,Singapore,https://apss.com.sg/,info@apss.com.sg,15.0,5542795.0,missing_year_founded
103,CommScope Technologies AG,Commscope Technologies Ag,ff338e8e-b929-11ed-89f1-bd62b3e1c745,85.0,Switzerland,Switzerland,Zurich,Bachenbülach,,,,,"missing_website, missing_email, missing_year_founded"
104,COMMSCOPE TECHNOLOGIES LLC,Commscope Technologies K Ltdtd,7e64da92-e11e-11ec-b909-77b33c15dd42,56.43,United States,Kenya,,Nairobi,https://www.commscope-ea.com/,admin@commscope-ea.com,75.0,569635.0,"country_mismatch, missing_year_founded"
105,COMVIVA TECHNOLOGIES LIMITED,Comviva Technologies,8913e0f5-93e4-11eb-91fb-73d498260b10,90.0,India,India,Gurugram,Gurugram,https://www.comviva.com/,info@comviva.com,3300.0,88700000.0,ok
106,CONSCIA DANMARK A/S,Conscia Danmark A/S.,33c93c45-a7e0-11ef-af89-216a077ca7fb,88.46,Denmark,Denmark,Glostrup,Ringsted,https://laugesen.io/,martin@laugesen.io,,,missing_year_founded
107,CONTROL RISKS GROUP LIMITED,Control Risks Group Holdings Ltd.,be890a78-9d75-11ed-816c-8fdd7f384ea6,88.0,United Kingdom,United Kingdom,London,London,https://www.controlrisks.net/,,,107300000.0,missing_email
108,CORPORATE COMMUNICATIONS AS,Corporate Communications,e48e4e11-93e4-11eb-919a-b3f9a5ad205c,96.47,Norway,Norway,Oslo,Oslo,https://corporatecommunications.no/,admin@corpcom.no,83.0,27943802.0,ok
109,"COUPA SOFTWARE, INC.",Coupa Software India Pvt. Ltd.,1b4afc0c-8dec-11ec-8c86-416dde49cf85,68.2,United States,United States,San Mateo,Ann Arbor,,,,725299968.0,"missing_website, missing_email"
110,"COURSERA, INC.",Coursera Inc.,d6c603ec-93e4-11eb-b997-8dd98d09cf25,97.78,United States,United States,Mountain View,Mountain View,https://translate-coursera.org/,,,,"missing_email, missing_year_founded"
111,CRAYON A/S,Crayon A/S.,b9ebf60e-f3c1-11ed-afbd-cd002aee0352,82.14,Denmark,Denmark,Gladsaxe Municipality,Silkeborg,,,,,"missing_website, missing_email, missing_year_founded"
112,CRAYON AS,Crayon,06114cdd-2566-11ef-8cf6-9964b1248c28,88.0,Norway,Norway,Oslo,Oslo,https://crayonweb.azurewebsites.net/de/,license.dk@crayon.com,,,ok
113,CRAYON PTE. LTD.,Crayon Digital Pte Ltd.,11ca0c36-93e5-11eb-b997-8dd98d09cf25,76.15,Singapore,Singapore,,Singapore,https://crayondigital.net/,,2.0,450432.0,"missing_email, missing_year_founded"
114,"CROWDSTRIKE SERVICES, INC.",CrowdStrike,01be7de3-0c24-11ec-aa7c-a3d935d57c91,75.68,United States,United States,Sunnyvale,Sunnyvale,https://www.mdcoin.net/,publicsector@crowdstrike.com,,,ok
115,Searcher ApS,Searcher,c7c58151-43ae-11ef-b5d2-e5c02fb4c089,78.0,Denmark,Denmark,Aarhus Municipality,Aarhus,https://searcher.dk/,sk@searcher.dk,10.0,1933729.0,ok
